gatherdate,strike,expiry,timevalue,gexp,dexp,vexp,cexp,ccash,pcash,call_volume,put_volume,call_oi,put_oi
2025-02-20 11:12:24,33.0,2025-03-21,0.11507936507936507,-9891.464164681533,804.3042763003239,-22.289453075617722,-92.95667637582686,0.0,28317600.000000007,2.0,1.0,1e-10,324.0
2025-02-20 11:12:24,33.0,2025-03-14,0.0873015873015873,-3247.8256335120896,193.51584605086484,-7.427184183125448,-16.947334707174278,0.0,12585600.000000004,0.0,2.0,0.0,144.0
2025-02-20 11:12:24,33.0,2025-03-28,0.14285714285714285,-2329.0802530675,267.19529755648574,-5.096171839740554,-38.37883918908661,0.0,5681000.000000002,0.0,65.0,0.0,65.0
2025-02-20 11:12:24,33.0,2025-02-28,0.031746031746031744,37.245272441207604,37.154336989814844,-0.07962565906532808,1.1794632976627244,87400.00000000003,0.0,2.0,0.0,1.0,0.0
2025-02-20 11:12:24,33.0,2025-02-21,0.003968253968253968,-346.16434845964193,10.82391538995787,-0.7992407797604418,-0.0429389074168868,0.0,5069200.000000002,0.0,1.0,0.0,58.0
2025-02-20 11:12:24,34.0,2025-03-14,0.0873015873015873,-373.6724530139871,35.81981954419706,-0.7224045201373546,-3.137184879929617,0.0,696600.0000000002,0.0,1.0,0.0,9.0
2025-02-20 11:12:24,34.0,2025-02-21,0.003968253968253968,-9781.444421178392,392.83687104321183,-19.59075369130828,-1.5585115334568864,0.0,42260400.000000015,0.0,2.0,0.0,546.0
2025-02-20 11:12:24,34.0,2025-03-21,0.11507936507936507,9440.917406370447,11623.983154943366,-32.65593943057818,1273.9082055072893,25309800.000000007,9907200.000000004,3.0,1.0,327.0,128.0
2025-02-20 11:12:24,34.0,2025-03-07,0.05952380952380952,-2103.7554097257666,141.8765590721045,-4.159594363121476,-8.462462015233198,0.0,4721400.000000001,0.0,1.0,0.0,61.0
2025-02-20 11:12:24,34.0,2025-02-28,0.031746031746031744,-1676.7590873057516,108.17959185090048,-3.3095004871196876,-3.4375206016388744,0.0,3870000.0000000014,0.0,1.0,0.0,50.0
2025-02-20 11:12:24,34.0,2025-03-28,0.14285714285714285,-3206.671143861487,447.64498941080643,-5.940980517270404,-64.29975631153751,0.0,5805000.000000002,0.0,10.0,0.0,75.0
